Unnamed: 0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,duration_binned,amount_binned,age_binned
0,1,18,4,car (used),1049,1,2,4,female : non-single or male : single,none,4,car or other,21,none,1,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",18-24
1,1,9,4,others,2799,1,3,2,male : married/widowed,none,2,unknown / no property,36,none,1,2,3,3 or more,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",35-41
2,2,12,2,retraining,841,2,4,2,female : non-single or male : single,none,4,unknown / no property,23,none,1,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
3,1,12,4,others,2122,1,3,3,male : married/widowed,none,2,unknown / no property,39,none,1,2,2,3 or more,1,1,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
4,1,12,4,others,2171,1,3,4,male : married/widowed,none,4,car or other,38,bank,2,2,2,0 to 2,1,1,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
5,1,10,4,others,2241,1,2,1,male : married/widowed,none,3,unknown / no property,48,none,1,2,2,3 or more,1,1,1,"(3.932, 10.8]","(2067.4, 3884.8]",47-52
6,1,8,4,others,3398,1,4,1,male : married/widowed,none,4,unknown / no property,39,none,2,2,2,0 to 2,1,1,1,"(3.932, 10.8]","(2067.4, 3884.8]",35-41
7,1,6,4,others,1361,1,2,2,male : married/widowed,none,4,unknown / no property,40,none,2,1,2,3 or more,1,1,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
8,4,18,4,furniture/equipment,1098,1,1,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,65,none,2,2,1,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",63-69
9,2,24,2,furniture/equipment,3758,3,1,1,female : non-single or male : single,none,4,real estate,23,none,1,1,1,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",18-24
10,1,11,4,others,3905,1,3,2,male : married/widowed,none,2,unknown / no property,36,none,1,2,3,3 or more,1,2,1,"(10.8, 17.6]","(3884.8, 5702.2]",35-41
11,1,30,4,car (new),6187,2,4,1,female : single,none,4,building soc. savings agr./life insurance,24,none,1,2,3,0 to 2,1,2,1,"(24.4, 31.2]","(5702.2, 7519.6]",18-24
12,1,6,4,furniture/equipment,1957,1,4,1,female : non-single or male : single,none,4,building soc. savings agr./life insurance,31,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",30-35
13,2,48,3,business,7582,2,1,2,male : married/widowed,none,4,real estate,31,none,2,1,4,0 to 2,2,2,1,"(44.8, 51.6]","(7519.6, 9337.0]",30-35
14,1,18,2,furniture/equipment,1936,5,4,2,female : single,none,4,building soc. savings agr./life insurance,23,none,1,2,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",18-24
15,1,6,2,furniture/equipment,2647,3,3,2,male : married/widowed,none,3,unknown / no property,44,none,1,1,3,3 or more,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",41-47
16,1,11,4,others,3939,1,3,1,male : married/widowed,none,2,unknown / no property,40,none,2,2,2,3 or more,1,2,1,"(10.8, 17.6]","(3884.8, 5702.2]",35-41
17,2,18,2,furniture/equipment,3213,3,2,1,female : single,none,3,unknown / no property,25,none,1,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
18,2,36,4,furniture/equipment,2337,1,5,4,male : married/widowed,none,4,unknown / no property,36,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",35-41
19,4,11,4,others,7228,1,3,1,male : married/widowed,none,4,car or other,39,none,2,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(5702.2, 7519.6]",35-41
